"dependentVariable" "treatment" "object" "original" "reproduction" "difference"
"time" "Hylaa" "106948" NA NA NA
"time" "Hylaa" "139032" NA NA NA
"time" "Hylaa" "180742" NA NA NA
"time" "Hylaa" "234965" NA NA NA
"time" "No Input" "31" 0.486531448364 0.7187456846236 0.477285151947399
"time" "No Input" "40" 0.49423456192 0.748886680603 0.515245469061752
"time" "No Input" "53" 0.485179519653 0.7577392101288 0.561770807371949
"time" "No Input" "68" 0.489775109291 0.7921607255935 0.617396863511979
"time" "No Input" "89" 0.482764911652 0.727963256836 0.507904239239224
"time" "No Input" "116" 0.51104824543 0.7469648122788 0.461632671589153
"time" "No Input" "151" 0.499430418015 0.7634859800338 0.528713415310778
"time" "No Input" "197" 0.492171216011 0.7497954607011 0.523444354950539
"time" "No Input" "256" 0.470659899712 0.7523890972139 0.598583388290126
"time" "No Input" "332" 0.465043282509 0.8000572681428 0.720393129487504
"time" "No Input" "432" 0.525870585442 0.760235786438 0.44567086938132
"time" "No Input" "562" 0.493569779396 0.752916264534 0.525450495480846
"time" "No Input" "731" 0.507299542427 0.7779088973998 0.533431103994619
"time" "No Input" "951" 0.523774409294 0.7699305057524 0.469965870975247
"time" "No Input" "1236" 0.578866076469 0.810636806488 0.400387480698071
"time" "No Input" "1607" 0.605908799171 0.8247600078583 0.361194966943426
"time" "No Input" "2089" 0.609493231773 0.8559572935105 0.404375387435464
"time" "No Input" "2716" 0.651990818977 0.906199836731 0.38989662178505
"time" "No Input" "3531" 0.69103770256 0.9461303710936 0.369144357230569
"time" "No Input" "4590" 0.766255235672 0.9707571506506 0.26688485175472
"time" "No Input" "5967" 0.847734618187 1.06366622448 0.254716041624913
"time" "No Input" "7757" 0.917459702492 1.155157971382 0.259083061898375
"time" "No Input" "10085" 1.01670160294 1.296771836281 0.27546945193272
"time" "No Input" "13110" 1.20665988922 1.457536697387 0.207910124806726
"time" "No Input" "17043" 1.42904939651 1.624876427651 0.137033073607704
"time" "No Input" "22157" 1.68584563732 1.909665369987 0.132764072648317
"time" "No Input" "28804" 2.05733287334 2.22064051628 0.0793783276669645
"time" "No Input" "37445" 2.53362202644 2.702201032637 0.0665367621680614
"time" "No Input" "48679" 3.1637701273 3.325307297707 0.0510584410078042
"time" "No Input" "63282" 3.95724906921 4.082077097894 0.0315441425345816
"time" "No Input" "82267" 4.99555191994 5.065619659424 0.0140260256738242
"time" "No Input" "106948" 6.3584239006 6.380459690093 0.00346560560250164
"time" "No Input" "139032" 8.15314538479 8.107677149773 -0.00557677226041154
"time" "No Input" "180742" 10.3608177662 10.24469869136 -0.0112075202421583
"time" "No Input" "234965" 13.2511278152 NA NA
"time" "Warm" "31" 0.479976034164 0.7237200736998 0.507825437493649
"time" "Warm" "40" 0.50791285038 0.7476456880569 0.471996007774841
"time" "Warm" "53" 0.517006659508 0.7711825132371 0.491629748001664
"time" "Warm" "68" 0.505238246918 0.7296388387681 0.444148069191049
"time" "Warm" "89" 0.498800134659 0.7551352977755 0.513903556364798
"time" "Warm" "116" 0.484147953987 0.7585070848467 0.566684478577941
"time" "Warm" "151" 0.504043149948 0.7387884855271 0.4657246817129
"time" "Warm" "197" 0.566224169731 0.799469780922 0.411931569967791
"time" "Warm" "256" 0.557366204262 0.8481717824937 0.521749571481018
"time" "Warm" "332" 0.588139390945 0.8198657989502 0.393999129411942
"time" "Warm" "432" 0.632276105881 0.8827400207519 0.396130602661173
"time" "Warm" "562" 0.742069578171 0.9538480520249 0.285388971713241
"time" "Warm" "731" 0.869167041779 1.088253617287 0.252064982882435
"time" "Warm" "951" 1.07775039673 1.301718878745 0.207811087515757
"time" "Warm" "1236" 1.47963502407 1.628886413575 0.100870408632568
"time" "Warm" "1607" 2.06566433907 2.216721510887 0.0731276466170727
"time" "Warm" "2089" 3.27452392578 3.358429694177 0.0256238067880397
"time" "Warm" "2716" 5.61950068474 5.420654869079 -0.0353849615502272
"time" "Warm" "3531" 9.6739793539 9.868683362008 0.0201265684973274
"time" "Warm" "4590" NA NA NA
"time" "Warm" "5967" NA NA NA
"time" "Warm" "7757" NA NA NA
"time" "Warm" "10085" NA NA NA
"time" "Warm" "13110" NA NA NA
"time" "Warm" "17043" NA NA NA
"time" "Warm" "22157" NA NA NA
"time" "Warm" "28804" NA NA NA
"time" "Warm" "37445" NA NA NA
"time" "Warm" "48679" NA NA NA
"time" "Warm" "63282" NA NA NA
"time" "Warm" "82267" NA NA NA
"time" "Warm" "106948" NA NA NA
"time" "Warm" "139032" NA NA NA
"time" "Warm" "180742" NA NA NA
"time" "Warm" "234965" NA NA NA
