"object" "mean" "min" "max" "execution" "treatment" "dependentVariable"
"63282" 3.95724906921 3.85451221466 4.04430913925 "Original" "No Input" "time"
"82267" 4.99555191994 4.93297290802 5.08206319809 "Original" "No Input" "time"
"106948" 6.3584239006 6.22539591789 6.51933789253 "Original" "No Input" "time"
"139032" 8.15314538479 8.00327801704 8.37506103516 "Original" "No Input" "time"
"180742" 10.3608177662 10.2438540459 10.5612750053 "Original" "No Input" "time"
"234965" 13.2511278152 13.1403617859 13.6652028561 "Original" "No Input" "time"
"31" 0.7446228981017 0.718564033508 0.785708904266 "Reproduction" "Basic" "time"
"40" 0.8053051233291 0.743405103683 0.857882022858 "Reproduction" "Basic" "time"
"53" 0.8161326408387 0.781150817871 0.843560934067 "Reproduction" "Basic" "time"
"68" 0.8077137708664 0.702023983002 0.854803800583 "Reproduction" "Basic" "time"
"89" 0.8720490932466 0.836223840714 0.902168989182 "Reproduction" "Basic" "time"
"116" 1.0090353250514 0.953585147858 1.04561805725 "Reproduction" "Basic" "time"
"151" 1.243759799003 1.21691799164 1.27323484421 "Reproduction" "Basic" "time"
"197" 1.697239995003 1.65948581696 1.73695707321 "Reproduction" "Basic" "time"
"256" 2.560232043267 2.47962284088 2.631939888 "Reproduction" "Basic" "time"
"332" 4.344379544259 4.29512405396 4.38511300087 "Reproduction" "Basic" "time"
"432" 7.953976011278 7.88552594185 8.0111348629 "Reproduction" "Basic" "time"
"562" NA NA NA "Reproduction" "Basic" "time"
"731" NA NA NA "Reproduction" "Basic" "time"
"951" NA NA NA "Reproduction" "Basic" "time"
"1236" NA NA NA "Reproduction" "Basic" "time"
"1607" NA NA NA "Reproduction" "Basic" "time"
"2089" NA NA NA "Reproduction" "Basic" "time"
"2716" NA NA NA "Reproduction" "Basic" "time"
"3531" NA NA NA "Reproduction" "Basic" "time"
"4590" NA NA NA "Reproduction" "Basic" "time"
"5967" NA NA NA "Reproduction" "Basic" "time"
"7757" NA NA NA "Reproduction" "Basic" "time"
"10085" NA NA NA "Reproduction" "Basic" "time"
"13110" NA NA NA "Reproduction" "Basic" "time"
"17043" NA NA NA "Reproduction" "Basic" "time"
"22157" NA NA NA "Reproduction" "Basic" "time"
"28804" NA NA NA "Reproduction" "Basic" "time"
"37445" NA NA NA "Reproduction" "Basic" "time"
"48679" NA NA NA "Reproduction" "Basic" "time"
"63282" NA NA NA "Reproduction" "Basic" "time"
"82267" NA NA NA "Reproduction" "Basic" "time"
"106948" NA NA NA "Reproduction" "Basic" "time"
"139032" NA NA NA "Reproduction" "Basic" "time"
"180742" NA NA NA "Reproduction" "Basic" "time"
"31" 0.7570577621459 0.71121096611 0.839654922485 "Reproduction" "Decomp" "time"
"40" 0.7971547126772 0.722141027451 0.820694923401 "Reproduction" "Decomp" "time"
"53" 0.7122536420821 0.660403013229 0.749026060104 "Reproduction" "Decomp" "time"
